kepid;koi_disposition;koi_pdisposition;koi_score;koi_period;koi_impact;koi_duration;koi_depth;koi_prad;koi_sma;koi_teq;koi_model_snr
6781535;FALSE POSITIVE;FALSE POSITIVE;0.0000;9.122087110;1.1040;4.62417;5.8790e+04;52.66;0.0849;904.0;1599.10
8440062;FALSE POSITIVE;FALSE POSITIVE;0.3150;366.719230000;0.5920;9.80000;2.4640e+02;3.35;1.0767;383.0;9.80
7622072;FALSE POSITIVE;FALSE POSITIVE;0.0000;6.373454978;1.2840;3.93770;6.0846e+03;51.60;0.0633;1169.0;258.10
7630658;FALSE POSITIVE;FALSE POSITIVE;0.0000;1.075577069;0.8860;4.11779;1.4058e+05;69.11;0.0203;2094.0;1589.60
7631194;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.811390968;0.3450;1.01140;1.3990e+02;14.74;0.0238;5043.0;19.20
7662209;FALSE POSITIVE;FALSE POSITIVE;;14.649459900;0.1750;2.88300;2.2100e+02;1.00;0.1023;574.0;7.40
7663804;FALSE POSITIVE;FALSE POSITIVE;;321.007420000;0.6639;13.01000;3.0710e+02;3.70;0.8746;351.0;11.10
7668648;FALSE POSITIVE;FALSE POSITIVE;0.0000;27.818923820;0.6060;8.37770;2.3822e+05;50.00;0.1795;610.0;156.80
7670485;FALSE POSITIVE;FALSE POSITIVE;0.0000;8.467706136;1.0540;4.05376;7.7324e+04;43.98;0.0794;844.0;976.00
7670617;FALSE POSITIVE;FALSE POSITIVE;0.0000;24.703619950;0.2060;6.97190;2.1754e+05;30.13;0.1484;464.0;268.70
8367298;FALSE POSITIVE;FALSE POSITIVE;0.0000;5.134868900;1.1370;48.69000;1.1580e+02;16.17;0.0548;1040.0;36.10
8374499;FALSE POSITIVE;FALSE POSITIVE;0.0000;5.251918489;0.3170;5.59653;2.9648e+05;51.51;0.0591;1060.0;6979.70
8378656;FALSE POSITIVE;FALSE POSITIVE;0.0000;3.629440080;0.2530;5.94104;1.3008e+05;40.08;0.0460;1351.0;5131.40
8378922;FALSE POSITIVE;FALSE POSITIVE;0.0000;43.263305017;0.5550;10.09150;3.5909e+05;62.75;0.2212;505.0;2415.60
8379547;FALSE POSITIVE;FALSE POSITIVE;0.0000;6.042029838;0.6890;8.06660;1.3286e+05;23.94;0.0544;729.0;312.50
8381592;FALSE POSITIVE;FALSE POSITIVE;0.0000;2.892087553;1.0620;3.16757;7.1631e+04;47.55;0.0379;1225.0;563.90
8382339;FALSE POSITIVE;FALSE POSITIVE;0.0000;5.405976080;0.0130;2.79000;4.6100e+02;31.78;0.0882;2818.0;23.50
8394475;CANDIDATE;CANDIDATE;0.9140;3.640492420;0.1810;1.19400;4.2100e+01;0.61;0.0466;1136.0;9.50
8398290;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.510804497;0.8100;2.53900;4.2700e+01;1.58;0.0140;3622.0;15.40
9328864;FALSE POSITIVE;FALSE POSITIVE;0.0000;0.645850521;0.4760;1.20820;5.4900e+01;0.69;0.0136;1941.0;16.80
9334490;FALSE POSITIVE;FALSE POSITIVE;0.0000;18.844971130;0.8950;4.94420;4.1434e+03;5.35;0.1211;552.0;79.80
9340411;CANDIDATE;CANDIDATE;0.9790;5.158131700;0.0320;7.77300;3.7900e+01;2.02;0.0643;1642.0;13.00
9344623;FALSE POSITIVE;FALSE POSITIVE;0.0000;14.759477667;0.5600;9.77460;3.5747e+05;76.06;0.1230;862.0;3813.50
